,precision,recall,f1-score,support
0,1.0,1.0,1.0,12.0
1,0.9333333333333333,1.0,0.9655172413793104,14.0
2,1.0,0.9,0.9473684210526315,10.0
accuracy,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
macro avg,0.9777777777777779,0.9666666666666667,0.9709618874773139,36.0
weighted avg,0.974074074074074,0.9722222222222222,0.9719701552732407,36.0
