,precision,recall,f1-score,support
0,0.9230769230769231,1.0,0.96,12.0
1,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
2,1.0,0.9,0.9473684210526315,10.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9505494505494506,0.942857142857143,0.9453132832080201,36.0
weighted avg,0.9465811965811967,0.9444444444444444,0.944269005847953,36.0
